 nb            ed            pr           
 1.084237e-02  5.178395e-02  9.949475e-05 
 1.138449e-02  5.437830e-02  1.065377e-04 
 1.195371e-02  5.710272e-02  1.140716e-04 
 1.255140e-02  5.996370e-02  1.207709e-04 
 1.317897e-02  6.296812e-02  1.291282e-04 
 1.383791e-02  6.612321e-02  1.382412e-04 
 1.452981e-02  6.943652e-02  1.479961e-04 
 1.525630e-02  7.291593e-02  1.568258e-04 
 1.601912e-02  7.656984e-02  1.678955e-04 
 1.682007e-02  8.040701e-02  1.797572e-04 
 1.766108e-02  8.443660e-02  1.901943e-04 
 1.854413e-02  8.866827e-02  2.036668e-04 
 1.947134e-02  9.311222e-02  2.181273e-04 
 2.044490e-02  9.777912e-02  2.336599e-04 
 2.146715e-02  1.026800e-01  2.472848e-04 
 2.254051e-02  1.078268e-01  2.650207e-04 
 2.366753e-02  1.132319e-01  2.841247e-04 
 2.485091e-02  1.189082e-01  3.047266e-04 
 2.609345e-02  1.248694e-01  3.269724e-04 
 2.739812e-02  1.311298e-01  3.510277e-04 
 2.876803e-02  1.377045e-01  3.722372e-04 
 3.020643e-02  1.446090e-01  4.001167e-04 
 3.171675e-02  1.518602e-01  4.304155e-04 
 3.330259e-02  1.594756e-01  4.572610e-04 
 3.496772e-02  1.674731e-01  4.927627e-04 
 3.671611e-02  1.758724e-01  5.258170e-04 
 3.855191e-02  1.846930e-01  5.704636e-04 
 4.047951e-02  1.939572e-01  6.111921e-04 
 4.250348e-02  2.036867e-01  6.619009e-04 
 4.462866e-02  2.139054e-01  7.111386e-04 
 4.686009e-02  2.246376e-01  7.726162e-04 
 4.920310e-02  2.359100e-01  8.433679e-04 
 5.166325e-02  2.477502e-01  9.225639e-04 
 5.424641e-02  2.601870e-01  1.012458e-03 
 5.695873e-02  2.732516e-01  1.113233e-03 
 5.980667e-02  2.869758e-01  1.227358e-03 
 6.279700e-02  3.013945e-01  1.356526e-03 
 6.593685e-02  3.165430e-01  1.504607e-03 
 6.923370e-02  3.324605e-01  1.674423e-03 
 7.269538e-02  3.491888e-01  1.869975e-03 
 7.633015e-02  3.667703e-01  2.093875e-03 
