 nb            ed            pr           
 2.792073e-04  1.326968e-03  2.634890e-06 
 2.931676e-04  1.393449e-03  2.696647e-06 
 3.078260e-04  1.463258e-03  2.753430e-06 
 3.232173e-04  1.536560e-03  2.808325e-06 
 3.393782e-04  1.613530e-03  2.862536e-06 
 3.563471e-04  1.694351e-03  2.917047e-06 
 3.741644e-04  1.779216e-03  2.971916e-06 
 3.928727e-04  1.868326e-03  3.028068e-06 
 4.125163e-04  1.961895e-03  3.085658e-06 
 4.331421e-04  2.060146e-03  3.145008e-06 
 4.547992e-04  2.163311e-03  3.172774e-06 
 4.775392e-04  2.271636e-03  3.237645e-06 
 5.014161e-04  2.385382e-03  3.305147e-06 
 5.264870e-04  2.504818e-03  3.375331e-06 
 5.528113e-04  2.630229e-03  3.448423e-06 
 5.804519e-04  2.761915e-03  3.524682e-06 
 6.094745e-04  2.900189e-03  3.604281e-06 
 6.399482e-04  3.045381e-03  3.687496e-06 
 6.719456e-04  3.197836e-03  3.774550e-06 
 7.055429e-04  3.357919e-03  3.865649e-06 
 7.408200e-04  3.526011e-03  3.961078e-06 
 7.778610e-04  3.702512e-03  4.060992e-06 
 8.167541e-04  3.887843e-03  4.165743e-06 
 8.575918e-04  4.082446e-03  4.275709e-06 
 9.004714e-04  4.286785e-03  4.390474e-06 
 9.454949e-04  4.501347e-03  4.511005e-06 
 9.927697e-04  4.726643e-03  4.637320e-06 
 1.042408e-03  4.963210e-03  4.769626e-06 
 1.094529e-03  5.211612e-03  4.908245e-06 
 1.149255e-03  5.472442e-03  5.053358e-06 
 1.206718e-03  5.746321e-03  5.205249e-06 
 1.267054e-03  6.033901e-03  5.364169e-06 
 1.330406e-03  6.335868e-03  5.530362e-06 
 1.396927e-03  6.652942e-03  5.704326e-06 
 1.466773e-03  6.985879e-03  5.885363e-06 
 1.540112e-03  7.335472e-03  6.074649e-06 
 1.617117e-03  7.702554e-03  6.272060e-06 
 1.697973e-03  8.088000e-03  6.477690e-06 
 1.782872e-03  8.492730e-03  6.692158e-06 
 1.872015e-03  8.917706e-03  6.914443e-06 
 1.965616e-03  9.363943e-03  7.145731e-06 
 2.063897e-03  9.832503e-03  7.385764e-06 
 2.167092e-03  1.032450e-02  7.634493e-06 
 2.275446e-03  1.084112e-02  7.891958e-06 
 2.389219e-03  1.138357e-02  8.158560e-06 
 2.508680e-03  1.195317e-02  8.432807e-06 
 2.634113e-03  1.255125e-02  8.699199e-06 
 2.765819e-03  1.317926e-02  8.991366e-06 
 2.904110e-03  1.383868e-02  9.291427e-06 
 3.049316e-03  1.453109e-02  9.599502e-06 
 3.201781e-03  1.525813e-02  9.913624e-06 
 3.361870e-03  1.602154e-02  1.023483e-05 
 3.529964e-03  1.682313e-02  1.056194e-05 
 3.706462e-03  1.766483e-02  1.089428e-05 
 3.891785e-03  1.854862e-02  1.123169e-05 
 4.086375e-03  1.947662e-02  1.157219e-05 
 4.290693e-03  2.045104e-02  1.191483e-05 
 4.505228e-03  2.147420e-02  1.225974e-05 
 4.730489e-03  2.254853e-02  1.260529e-05 
 4.967014e-03  2.367659e-02  1.295098e-05 
 5.215365e-03  2.486108e-02  1.329397e-05 
 5.476133e-03  2.610481e-02  1.363486e-05 
 5.749939e-03  2.741074e-02  1.397194e-05 
 6.037436e-03  2.878198e-02  1.430429e-05 
 6.339308e-03  3.022180e-02  1.463098e-05 
 6.656274e-03  3.173363e-02  1.495132e-05 
 6.989087e-03  3.332107e-02  1.526500e-05 
 7.338542e-03  3.498789e-02  1.557194e-05 
 7.705469e-03  3.673807e-02  1.587277e-05 
 8.090742e-03  3.857578e-02  1.616853e-05 
 8.495279e-03  4.050538e-02  1.646122e-05 
 8.920043e-03  4.253148e-02  1.675390e-05 
 9.366045e-03  4.465890e-02  1.705080e-05 
 9.834348e-03  4.689271e-02  1.735775e-05 
 1.032607e-02  4.923822e-02  1.768256e-05 
 1.084237e-02  5.170102e-02  1.803525e-05 
 1.138449e-02  5.428698e-02  1.842871e-05 
 1.195371e-02  5.700226e-02  1.887910e-05 
 1.255140e-02  5.985333e-02  1.940657e-05 
 1.317897e-02  6.284699e-02  2.003598e-05 
 1.383791e-02  6.599036e-02  2.079800e-05 
 1.452981e-02  6.929094e-02  2.172955e-05 
 1.525630e-02  7.275660e-02  2.287727e-05 
 1.601912e-02  7.639560e-02  2.429077e-05 
 1.682007e-02  8.021664e-02  2.603935e-05 
 1.766108e-02  8.422883e-02  2.819916e-05 
 1.854413e-02  8.844174e-02  3.085760e-05 
 1.947134e-02  9.286545e-02  3.413282e-05 
 2.044490e-02  9.751053e-02  3.815019e-05 
 2.146715e-02  1.023881e-01  4.306237e-05 
 2.254051e-02  1.075098e-01  4.904834e-05 
 2.366753e-02  1.128879e-01  5.631914e-05 
 2.485091e-02  1.185353e-01  6.512147e-05 
 2.609345e-02  1.244656e-01  7.574327e-05 
 2.739812e-02  1.306930e-01  8.852169e-05 
 2.876803e-02  1.372324e-01  1.038482e-04 
 3.020643e-02  1.440997e-01  1.221791e-04 
 3.171675e-02  1.513113e-01  1.440431e-04 
 3.330259e-02  1.588847e-01  1.700549e-04 
 3.496772e-02  1.668299e-01  1.993907e-04 
 3.671611e-02  1.751822e-01  2.356594e-04 
 3.855191e-02  1.839542e-01  2.784708e-04 
 4.047951e-02  1.931670e-01  3.289143e-04 
 4.250348e-02  2.028432e-01  3.882481e-04 
 4.462866e-02  2.130065e-01  4.579244e-04 
 4.686009e-02  2.236816e-01  5.390555e-04 
 4.920310e-02  2.348949e-01  6.308644e-04 
 5.166325e-02  2.466738e-01  7.407266e-04 
 5.424641e-02  2.590476e-01  8.700991e-04 
 5.695873e-02  2.720471e-01  1.019593e-03 
 5.980667e-02  2.857045e-01  1.194569e-03 
 6.279700e-02  3.000533e-01  1.373139e-03 
 6.593685e-02  3.151307e-01  1.607681e-03 
 6.923370e-02  3.309736e-01  1.851149e-03 
 7.269538e-02  3.476222e-01  2.156126e-03 
 7.633015e-02  3.651195e-01  2.513493e-03 
 8.014666e-02  3.835119e-01  2.932390e-03 
 8.415399e-02  4.028388e-01  3.222783e-03 
 8.836169e-02  4.231587e-01  3.761816e-03 
