 nb            ed            pr           
 1.452981e-02  6.947576e-02  1.574052e-04 
 1.525630e-02  7.295770e-02  1.684699e-04 
 1.601912e-02  7.661424e-02  1.772495e-04 
 1.682007e-02  8.045413e-02  1.896803e-04 
 1.766108e-02  8.448665e-02  2.029753e-04 
 1.854413e-02  8.872150e-02  2.171984e-04 
 1.947134e-02  9.316882e-02  2.324189e-04 
 2.044490e-02  9.783931e-02  2.487127e-04 
 2.146715e-02  1.027442e-01  2.661631e-04 
 2.254051e-02  1.078949e-01  2.842531e-04 
 2.366753e-02  1.133043e-01  2.994589e-04 
 2.485091e-02  1.189851e-01  3.205556e-04 
 2.609345e-02  1.249510e-01  3.432040e-04 
 2.739812e-02  1.312159e-01  3.574639e-04 
 2.876803e-02  1.377952e-01  3.828646e-04 
 3.020643e-02  1.447050e-01  4.111887e-04 
 3.171675e-02  1.519616e-01  4.407365e-04 
 3.330259e-02  1.595825e-01  4.726287e-04 
 3.496772e-02  1.675865e-01  5.074690e-04 
 3.671611e-02  1.759920e-01  5.188390e-04 
 3.855191e-02  1.848188e-01  5.574096e-04 
 4.047951e-02  1.940889e-01  5.993145e-04 
 4.250348e-02  2.038249e-01  6.449392e-04 
 4.462866e-02  2.140501e-01  6.947295e-04 
 4.686009e-02  2.247888e-01  7.359903e-04 
 4.920310e-02  2.360671e-01  7.946489e-04 
 5.166325e-02  2.479118e-01  8.444435e-04 
 5.424641e-02  2.603519e-01  9.144661e-04 
 5.695873e-02  2.734194e-01  9.993395e-04 
 5.980667e-02  2.871474e-01  1.099649e-03 
 6.279700e-02  3.015701e-01  1.212679e-03 
 6.593685e-02  3.167269e-01  1.339925e-03 
 6.923370e-02  3.326559e-01  1.489448e-03 
 7.269538e-02  3.496743e-01  1.785035e-03 

